session_key,run_id,broad_no,user_id,category_id,cluster_aware_review_group,score_cluster_aware_consensus,cluster_number,silver_suspicious,gmm_cluster,gmm_max_prob,hdbscan_cluster,score_rule_directional,score_gmm_cluster_aware_rule,score_hdbscan_cluster_aware_rule,viewer_med,viewer_max,chat_mean,unique_mean,zero_rate,zrun_max,gap_med,gap_max,n,start,end
133_18975448,133,18975448,e87999abca4fd0c3214e05ef414ce951,서브노티카 2,low_priority,0.7009553053565337,0,0,3,0.9999218868718036,1,0.47927328556806553,0.6683602771362587,0.6676883780332056,228.0,265.0,11.401639344262296,4.729508196721311,0.0,0,2.968273134673701,4.787491742782046,122,2026-05-19 15:00:00,2026-05-19 17:01:00
162_19101894,162,19101894,65ef4db0b56a4ba207ffbb5d49ee4bb2,하스스톤,low_priority,0.7007505970658477,0,0,0,0.9299199739390992,-1,0.7097236438075741,0.6971354166666667,0.5177914110429448,244.0,330.0,8.37704918032787,5.680327868852459,0.0737704918032786,1,3.3961722137354045,5.717027701406222,122,2026-05-26 17:00:00,2026-05-26 19:01:00
153_19062135,153,19062135,b28d617a1d981cfff65d163f116cab7d,로스트아크,low_priority,0.6994199931763904,0,0,0,0.9975920468676016,0,0.6384339815762539,0.6229166666666667,0.6157303370786517,119.0,147.0,8.53191489361702,4.638297872340425,0.0425531914893617,1,2.4696391776572115,4.875197323201151,47,2026-05-24 15:00:00,2026-05-24 15:46:00
121_18905066,121,18905066,8ec9c61f5a46916624a433c036342cf1,스포츠,low_priority,0.6991811668372568,1,1,5,0.9959743126816012,-1,0.9506653019447286,0.3368421052631579,0.8817177914110431,759.0,842.0,2.04040404040404,1.404040404040404,0.3333333333333333,3,5.916202062607435,6.731018100482083,99,2026-05-15 15:00:00,2026-05-15 16:43:00
149_19047485,149,19047485,b40ce4b4204a494a97c55c251e092424,전략적 팀 전투 : 우주의 신들,low_priority,0.6990276356192426,0,0,3,0.9997651060171254,1,0.47246673490276364,0.6729792147806004,0.6659003831417625,1042.0,1325.0,21.21311475409836,14.549180327868852,0.0,0,4.08541027579217,6.129050210060545,122,2026-05-23 15:00:00,2026-05-23 17:01:00
171_19134575,171,19134575,ec857bee6cded06df19dae85cf37f878,메이플스토리 월드,low_priority,0.6987888092801091,0,0,6,0.985045708608001,0,0.8271750255885364,0.3967213114754098,0.9325842696629214,291.0,441.0,5.768595041322314,3.5289256198347108,0.0578512396694214,2,4.010358906149008,6.049733455231958,121,2026-05-28 20:00:00,2026-05-28 22:01:00
117_18885755,117,18885755,fa8920b97e70f89a423ce26531bc9c0f,마비노기,low_priority,0.6982429205049471,0,0,0,0.9841733892358173,0,0.6410440122824974,0.62421875,0.6120786516853933,109.0,134.0,7.736363636363636,5.1909090909090905,0.0363636363636363,1,2.614827564113302,4.74493212836325,110,2026-05-14 15:00:00,2026-05-14 16:49:00
120_18890343,120,18890343,0f171fd568c130cf09f2d3a641c4cbf1,승리의 여신: 니케,low_priority,0.6981576253838281,0,0,3,0.9998375091874548,1,0.4578300921187308,0.6745958429561201,0.6717752234993615,385.5,429.0,16.271428571428572,10.114285714285714,0.0,0,3.461583110538867,5.3351313396707525,70,2026-05-14 23:00:00,2026-05-15 00:09:00
160_19091790,160,19091790,a72c9f9c3d835078b97a520dded8e6d2,더 게임 오브 라이프 포 닌텐도 스위치,low_priority,0.6976117366086659,0,0,3,0.9998981836213838,1,0.4638689866939611,0.6725173210161663,0.6699872286079183,349.5,381.0,14.934426229508198,6.655737704918033,0.0,0,3.1928251476682585,4.7957905455967405,122,2026-05-25 23:00:00,2026-05-26 01:01:00
146_19027737,146,19027737,b82e8bc2505e37156b2d1140ba1fc05c,헬테이커,low_priority,0.6975605595359946,0,0,3,0.9999177061178127,1,0.46115660184237467,0.6732101616628174,0.6707535121328225,361.0,491.0,14.12295081967213,8.172131147540984,0.0,0,3.2589345399464347,5.020585624949423,122,2026-05-22 17:00:00,2026-05-22 19:01:00
146_19026213,146,19026213,b628d1039a84ecc703804e17acee2eb3,리그 오브 레전드,low_priority,0.6971340839303992,0,0,3,0.9999408906754497,1,0.4716479017400205,0.6672055427251732,0.6661558109833972,190.0,234.0,9.278688524590164,6.360655737704918,0.0,0,2.954896715481712,4.5591262474866845,122,2026-05-22 17:00:00,2026-05-22 19:01:00
140_19002391,140,19002391,0eba448275bccb294ceb88ddeb90f800,talk,low_priority,0.6959740702831798,0,0,6,0.9987969161082056,-1,0.8417604912998977,0.4774590163934427,0.6635582822085889,269.0,358.0,4.745901639344262,2.819672131147541,0.0737704918032786,2,3.974058396347599,5.634789603169249,122,2026-05-20 23:00:00,2026-05-21 01:01:00
134_18975871,134,18975871,cf6de97a15f6b6fb01709d63b1982082,림월드,low_priority,0.6959058341862846,1,1,5,0.8884102589351605,-1,0.9234390992835209,0.3568421052631579,0.8576687116564417,105.0,115.0,1.2434782608695651,0.9739130434782608,0.4,7,3.9608131695975777,4.7535901911063645,115,2026-05-19 17:00:00,2026-05-19 18:59:00
118_18888496,118,18888496,0076a519f147ee9fd0959bf02f9571ca,로스트아크,low_priority,0.6957011258955988,0,0,0,0.9999911731437662,0,0.7037871033776868,0.60234375,0.5924157303370787,625.0,725.0,13.016528925619834,9.1900826446281,0.0330578512396694,1,4.110873864173311,6.489204931325317,121,2026-05-14 17:00:00,2026-05-14 19:00:00
