round_id,model,n_positive,n_sampled_reliable_negative,positive_score_mean,unlabeled_score_mean,reliable_negative_score_mean
14,pu_random_forest,111,333,0.9959246147015273,0.28651819638329734,0.00204584124262932
14,pu_gradient_boosting,111,333,0.9981933845995665,0.2898000425315168,0.0006152077839778485
15,pu_logistic,111,333,0.9994294440001498,0.13500223928220964,0.0005968026461271186
15,pu_random_forest,111,333,0.9962533436181435,0.28937628528973086,0.00218507296440827
15,pu_gradient_boosting,111,333,0.9981879942647206,0.22776415847597328,0.0006152077839778495
16,pu_logistic,111,333,0.9994253302110437,0.13576707344193473,0.0005854275734719794
16,pu_random_forest,111,333,0.9960388673894972,0.29847194129103616,0.0025678838286946025
16,pu_gradient_boosting,111,333,0.9981898693760053,0.30788470671482654,0.0006152077839778491
17,pu_logistic,111,333,0.9994251218181814,0.1351056319493829,0.0005904635962413752
17,pu_random_forest,111,333,0.9959550751827175,0.2841705681896135,0.0017607700061995312
17,pu_gradient_boosting,111,333,0.9981971168636694,0.1944574383403569,0.0006152077839778495
18,pu_logistic,111,333,0.9994490595737832,0.14046749756886256,0.0006906330441120173
18,pu_random_forest,111,333,0.995922822690566,0.2955671363563831,0.0021576748121250994
18,pu_gradient_boosting,111,333,0.9981858291550567,0.24150563960174484,0.0006152077839778495
19,pu_logistic,111,333,0.9994227097757279,0.1354756659104956,0.0005938498079832794
19,pu_random_forest,111,333,0.9963887133562686,0.2939189537155798,0.002295995191089547
19,pu_gradient_boosting,111,333,0.9981752725416603,0.2383176421362624,0.0006152077839778495
20,pu_logistic,111,333,0.9994218549195166,0.13648945058827494,0.0005988222442304091
20,pu_random_forest,111,333,0.9964874620176506,0.2876710407639415,0.0017836231924917285
20,pu_gradient_boosting,111,333,0.998182271563782,0.23997691558891002,0.0006152077839778491
21,pu_logistic,111,333,0.9994227205159585,0.13445247281974423,0.00061554316145945
21,pu_random_forest,111,333,0.9957409003601061,0.29713611106985693,0.002089735451890709
21,pu_gradient_boosting,111,333,0.99820439123148,0.2353430173613973,0.0006152077839778495
22,pu_logistic,111,333,0.9994246687379084,0.13470918860373146,0.0006259230816608919
22,pu_random_forest,111,333,0.9961316542828437,0.28825748886050684,0.0019843786803874085
22,pu_gradient_boosting,111,333,0.9981920687209382,0.22820919165511325,0.0006152077839778491
23,pu_logistic,111,333,0.9994370785402032,0.13778469309067146,0.0006134086184341372
23,pu_random_forest,111,333,0.9966411662803942,0.29702057674522375,0.0024205601555413823
23,pu_gradient_boosting,111,333,0.9981981115346504,0.18598641536054913,0.0006152077839778495
24,pu_logistic,111,333,0.9994313102042924,0.13593913904706817,0.0006094755665905779
24,pu_random_forest,111,333,0.9964944274589846,0.2845410108813855,0.00167477048679872
24,pu_gradient_boosting,111,333,0.9981869923342384,0.26774496636886025,0.0006152077839778491
25,pu_logistic,111,333,0.9994486264542893,0.1369498246521431,0.0006015992459679959
25,pu_random_forest,111,333,0.9962843374278034,0.2881044865834703,0.002174367242415603
25,pu_gradient_boosting,111,333,0.9982009202039992,0.2135993833822247,0.0006152077839778495
26,pu_logistic,111,333,0.999454172164744,0.13854821701125625,0.0006077730530086948
26,pu_random_forest,111,333,0.9961235184984287,0.2985892308903886,0.0018693795985355536
26,pu_gradient_boosting,111,333,0.9981984712998953,0.18924611053020707,0.0006152077839778495
27,pu_logistic,111,333,0.9994206062355069,0.13475666752402105,0.0006000730037038934
27,pu_random_forest,111,333,0.9961993159095628,0.3066639154851895,0.002504497307659862
27,pu_gradient_boosting,111,333,0.998195858502415,0.270677016190554,0.0006152077839778495
